axe,modalite,poste,pm
quintile_revenu,QU1,CP09432,0.0
quintile_revenu,QU1,CP09440,0.1630369122996151
quintile_revenu,QU1,CP09450,1.8348965125996197
quintile_revenu,QU1,CP09461,2.0614883473794743
quintile_revenu,QU1,CP09462,4.96985839422295
quintile_revenu,QU1,CP09463,1.4374702530375796
quintile_revenu,QU1,CP09470,0.0
quintile_revenu,QU1,CP09510,0.030071575153315374
quintile_revenu,QU1,CP09520,0.7776627646718598
quintile_revenu,QU1,CP09610,6.351612745980003
quintile_revenu,QU1,CP09620,2.618647360184738
quintile_revenu,QU1,CP09630,1.404040712269264
quintile_revenu,QU1,CP09690,0.5864475480906117
quintile_revenu,QU1,CP09711,0.7242452031370226
quintile_revenu,QU1,CP09719,2.1886530864030904
quintile_revenu,QU1,CP09721,1.688126702493412
quintile_revenu,QU1,CP09722,2.6022215108304563
quintile_revenu,QU1,CP09730,0.5381364597468081
quintile_revenu,QU1,CP09740,2.1083154450354407
quintile_revenu,QU1,CP09800,0.0
quintile_revenu,QU1,CP10101,0.0
quintile_revenu,QU1,CP10200,0.0
quintile_revenu,QU1,CP10300,0.0
quintile_revenu,QU1,CP10400,6.045639588114446
quintile_revenu,QU1,CP10501,1.1378871843201552
quintile_revenu,QU1,CP10509,0.0
quintile_revenu,QU1,CP11111,37.82240075176375
quintile_revenu,QU1,CP11112,0.9740527173281834
quintile_revenu,QU1,CP11121,5.258228667663203
quintile_revenu,QU1,CP11129,5.187648417090543
quintile_revenu,QU1,CP11201,1.9832584087863931
quintile_revenu,QU1,CP11202,1.7812216893881951
quintile_revenu,QU1,CP11203,0.2659462939017097
quintile_revenu,QU1,CP11209,0.0
quintile_revenu,QU1,CP12110,0.0
quintile_revenu,QU1,CP12120,38.4161570616309
quintile_revenu,QU1,CP12130,16.32738673166229
quintile_revenu,QU1,CP12141,17.804131264080155
quintile_revenu,QU1,CP12142,0.0
quintile_revenu,QU1,CP12190,0.0
quintile_revenu,QU1,CP12210,0.0
quintile_revenu,QU1,CP12220,6.045639588114446
quintile_revenu,QU1,CP12291,0.0
quintile_revenu,QU1,CP12299,0.0
quintile_revenu,QU1,CP13111,0.672210853390384
quintile_revenu,QU1,CP13112,0.0
quintile_revenu,QU1,CP13120,18.131525180637926
quintile_revenu,QU1,CP13131,6.45867455081842
quintile_revenu,QU1,CP13132,2.0257164906223735
quintile_revenu,QU1,CP13211,0.9939998445908969
quintile_revenu,QU1,CP13212,0.046121592789017604
quintile_revenu,QU1,CP13220,0.0
quintile_revenu,QU1,CP13291,0.863587064980571
quintile_revenu,QU1,CP13292,0.0
quintile_revenu,QU1,CP13301,0.3380462978767397
quintile_revenu,QU1,CP13302,2.7011042352083448
quintile_revenu,QU1,CP13303,0.9912758589912125
quintile_revenu,QU1,CP13309,0.0
quintile_revenu,QU1,CP13901,0.0
quintile_revenu,QU1,CP13902,0.0
quintile_revenu,QU1,CP13909,9.936083936429247
quintile_revenu,QU2,CP01111,0.47630400847370546
quintile_revenu,QU2,CP01112,0.20413028934587377
quintile_revenu,QU2,CP01113,20.77268706343487
quintile_revenu,QU2,CP01114,0.8942850771343042
quintile_revenu,QU2,CP01115,1.6622037846735436
quintile_revenu,QU2,CP01119,0.4665835185048543
quintile_revenu,QU2,CP01121,0.0
quintile_revenu,QU2,CP01122,16.437348537327264
quintile_revenu,QU2,CP01123,8.116609123990695
quintile_revenu,QU2,CP01124,0.4568630285360032
quintile_revenu,QU2,CP01125,7.601423155641585
quintile_revenu,QU2,CP01131,4.228413136450241
quintile_revenu,QU2,CP01132,1.0789743865424757
quintile_revenu,QU2,CP01133,1.3900300655457118
quintile_revenu,QU2,CP01134,1.2345022260440939
quintile_revenu,QU2,CP01135,0.0
quintile_revenu,QU2,CP01136,0.0
quintile_revenu,QU2,CP01137,0.0
quintile_revenu,QU2,CP01141,0.22357126928357604
quintile_revenu,QU2,CP01142,2.216271712898058
quintile_revenu,QU2,CP01143,1.0498129166359225
quintile_revenu,QU2,CP01144,0.1555278395016181
quintile_revenu,QU2,CP01145,11.023035624677185
quintile_revenu,QU2,CP01146,2.3620790624308254
quintile_revenu,QU2,CP01147,1.9732594636767797
quintile_revenu,QU2,CP01148,1.3608685956391584
